Index,monetary,emissions,indipendence,PM_emissions
236,113764674.62000002,106183486.629,21417201.0,464880.236
237,126465175.838,102016147.1073,20668081.0,131870.4258
238,101122081.77,111259325.81,22637528.0,376002.723
239,123588521.49,104837303.76,20489207.0,1655219.12
240,67193247.482,147317776.66,29727516.0,1461328.565
241,125585985.82,102244973.225,20677997.0,209406.8982
242,131881953.13300002,93167810.671,18784328.0,105766996.544
243,124297420.57000002,109610672.2,19969359.0,5088396.24
244,125160303.828,102372668.471,20683919.0,264884.1677
245,126397950.035,102412352.577,20611829.0,396170.6427
246,124265774.491,102353791.953,20801209.0,232482.1872
247,124773845.90500002,142303343.0,17826564.0,26684897.653
248,112062279.27,107348122.687,21461196.0,746182.578
249,134420291.96,94348390.6,18261498.0,121246616.7
250,125093283.493,102093532.1236,20777578.0,180914.3929
251,124126200.12999998,105586977.84,20356354.0,2365191.3
252,115396205.458,97732485.8189,19427172.0,161958938.4896
253,125880375.427,102329229.541,20646917.0,297086.38440000004
254,124468836.62,102977409.993,20639706.0,618552.908
255,125426919.051,140309961.0,17904904.0,25246136.2451
256,120966785.12,109506545.2,20256170.0,4328185.35
257,127918359.87000002,120863301.3,18246514.0,48785488.02
258,125744861.642,101940235.9877,20721296.0,189689.6653
259,124040394.85000002,118038120.9,19314147.0,10692804.4
260,98880475.34,110932868.94,22632778.0,9968753.02
261,126106790.85000002,102032260.5681,20680153.0,159525.2539
262,124909200.353,102317862.672,20707054.0,301901.917
263,124239322.8,115643892.9,19489570.0,9029914.1
264,96831092.04,114031745.968,22905058.0,811924.136
265,126028974.39100005,102145876.5364,20668644.0,177786.93029999998
266,131577342.825,93975324.879,18920493.0,94396013.587
267,124800554.79000002,107652866.35,20121551.0,3824756.71
268,117142110.27199998,104960395.438,21212240.0,306969.0605
269,126119348.74600002,102338217.254,20634055.0,322651.2609
270,103648053.177,110057865.017,22424512.0,279932.4057
271,124336796.06,148600462.0,17583149.0,30508686.39
272,68589827.68,146268025.71199998,29875492.0,555668.742
273,125023302.19400002,102521369.839,20666756.0,373483.4074
274,125712836.168,101949010.9747,20721696.0,193062.1777
275,138157557.54000002,98008941.8,17241278.0,169525594.74
276,124637229.64000002,102553357.833,20690552.0,364723.149
277,126866115.44399998,101963570.0729,20659483.0,117732.29806
278,122905519.58,102359341.37,20869692.0,1661960.13
